time;value
0.000;1.676
0.505;1.892
1.010;3.916
1.515;2.127
2.020;3.129
2.525;3.093
3.030;3.955
3.535;3.176
4.040;2.208
4.545;2.665
5.051;5.464
5.556;3.385
6.061;5.907
6.566;8.361
7.071;5.539
7.576;4.069
8.081;6.607
8.586;5.906
9.091;4.867
9.596;4.263
10.101;14.266
10.606;5.410
11.111;10.106
11.616;8.413
12.121;7.644
12.626;4.166
13.131;7.607
13.636;11.913
14.141;11.204
14.646;11.225
15.152;8.497
15.657;4.187
16.162;21.340
16.667;9.828
17.172;6.209
17.677;12.585
18.182;6.200
18.687;19.777
19.192;23.312
19.697;19.957
20.202;10.807
20.707;22.016
21.212;15.327
21.717;22.955
22.222;24.128
22.727;14.010
23.232;29.739
23.737;10.136
24.242;22.136
24.747;30.149
25.253;47.102
25.758;56.523
26.263;19.087
26.768;26.602
27.273;17.963
27.778;130.209
28.283;52.428
28.788;83.981
29.293;66.390
29.798;123.052
30.303;33.275
30.808;92.622
31.313;380.234
31.818;9.481
32.323;264.488
32.828;626.434
33.333;54.843
33.838;177.178
34.343;100.999
34.848;76.877
35.354;30.522
35.859;85.367
36.364;91.108
36.869;37.165
37.374;226.979
37.879;103.473
38.384;209.424
38.889;106.700
39.394;242.514
39.899;41.328
40.404;97.774
40.909;450.247
41.414;43.646
41.919;266.133
42.424;164.573
42.929;283.249
43.434;85.285
43.939;306.606
44.444;282.430
44.949;676.573
45.455;164.117
45.960;184.057
46.465;1286.357
46.970;200.108
47.475;114.565
47.980;124.516
48.485;157.870
48.990;237.746
49.495;1984.100
50.000;1740.106
