time;value
0.000;6.517
0.505;8.307
1.010;9.788
1.515;11.490
2.020;13.134
2.525;14.627
3.030;14.751
3.535;21.163
4.040;18.356
4.545;23.553
5.051;24.809
5.556;17.605
6.061;30.812
6.566;20.266
7.071;41.056
7.576;18.803
8.081;31.415
8.586;30.998
9.091;25.254
9.596;37.057
10.101;39.990
10.606;38.528
11.111;40.091
11.616;49.361
12.121;38.260
12.626;37.565
13.131;42.006
13.636;41.905
14.141;55.765
14.646;55.111
15.152;68.498
15.657;66.613
16.162;46.414
16.667;67.273
17.172;37.127
17.677;60.289
18.182;57.571
18.687;70.679
19.192;63.872
19.697;38.430
20.202;63.152
20.707;45.489
21.212;87.250
21.717;54.571
22.222;79.682
22.727;70.494
23.232;61.030
23.737;89.576
24.242;111.151
24.747;59.800
25.253;87.904
25.758;79.449
26.263;110.011
26.768;79.682
27.273;92.529
27.778;79.604
28.283;102.683
28.788;57.025
29.293;97.017
29.798;76.096
30.303;95.777
30.808;127.773
31.313;90.769
31.818;124.960
32.323;96.497
32.828;99.831
33.333;82.996
33.838;80.268
34.343;74.864
34.848;83.739
35.354;112.856
35.859;134.513
36.364;70.866
36.869;112.361
37.374;86.228
37.879;103.416
38.384;93.527
38.889;137.681
39.394;115.158
39.899;162.466
40.404;118.726
40.909;120.506
41.414;151.694
41.919;129.370
42.424;144.158
42.929;118.709
43.434;126.929
43.939;142.064
44.444;148.957
44.949;173.647
45.455;127.242
45.960;186.447
46.465;129.884
46.970;148.074
47.475;132.076
47.980;151.622
48.485;124.022
48.990;116.577
49.495;74.287
50.000;177.698
