time;value
0.000;2.190
0.505;2.161
1.010;1.692
1.515;2.701
2.020;3.969
2.525;4.008
3.030;6.513
3.535;2.704
4.040;6.207
4.545;6.191
5.051;8.398
5.556;7.997
6.061;10.040
6.566;5.982
7.071;6.278
7.576;16.223
8.081;55.813
8.586;7.449
9.091;71.715
9.596;55.113
10.101;26.755
10.606;17.673
11.111;23.697
11.616;106.167
12.121;140.805
12.626;259.696
13.131;208.374
13.636;61.833
14.141;270.944
14.646;63.328
15.152;259.554
15.657;888.630
16.162;255.551
16.667;383.678
17.172;315.659
17.677;279.722
18.182;492.129
18.687;1194.776
19.192;1178.532
19.697;585.006
20.202;531.659
20.707;296.029
21.212;318.961
21.717;436.367
22.222;1241.974
22.727;1699.254
23.232;26733.349
23.737;6195.579
24.242;964.645
24.747;7758.407
25.253;25193.610
25.758;10404.356
26.263;9842.994
26.768;282.435
27.273;11652.108
27.778;14033.761
28.283;2283.251
28.788;9448.365
29.293;6008.364
29.798;4469.236
30.303;3544.082
30.808;619.379
31.313;39194.436
31.818;5901.471
32.323;12159.582
32.828;110629.567
33.333;12155116.621
33.838;14342.108
34.343;59900.727
34.848;16968.084
35.354;934764.964
35.859;42226.918
36.364;17144.587
36.869;67355.267
37.374;470820.080
37.879;15330.016
38.384;7810.602
38.889;4183419.373
39.394;11407.797
39.899;27384.827
40.404;9317.045
40.909;1646821.682
41.414;35430154.087
41.919;2114532.432
42.424;73320.090
42.929;124251.678
43.434;80174.696
43.939;3575584.386
44.444;2244495.167
44.949;62566.736
45.455;265846419.008
45.960;480801.007
46.465;1531717.540
46.970;1862006.841
47.475;57605.301
47.980;27460.184
48.485;157935019.037
48.990;241097710.190
49.495;53310240.325
50.000;17369375.571
